what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1478383498583
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1478383498583
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1478383498583
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1478383498584
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1478383498584
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1478383498585
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1478383498585
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1478383498585
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1478383498585
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1478383498586
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1478383498586
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1478383498596
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1478383498600
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1478383498600
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1478383498600
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1478383498600
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1478383498600
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1478383498601
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1478383498601
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1478383498601
os,sysinfo,,,"win32",1478383498603
arch,sysinfo,,,"x86",1478383498603
ws,sysinfo,,,"win32",1478383498603
locale,sysinfo,,,"en_US",1478383498603
processors,sysinfo,,,"4",1478383498603
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1478383498603
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1478383498603
java.specification.name,sysinfo,,,"Java Platform API Specification",1478383498603
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1478383498603
java.specification.version,sysinfo,,,"1.6",1478383498603
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1478383498603
java.version,sysinfo,,,"1.6.0_23",1478383498603
java.vm.info,sysinfo,,,"mixed mode",1478383498603
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1478383498603
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1478383498603
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1478383498603
java.vm.specification.version,sysinfo,,,"1.0",1478383498603
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1478383498603
java.vm.version,sysinfo,,,"19.0-b09",1478383498603
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1478383499178
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1478383500342
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478383502310
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1478383512665
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1478383512743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478383549545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478383549856
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1478383554338
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478383554347
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1478383554347
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1478383586753
executed,command,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project.commands.quartus",1478383588158
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1478383588201
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1478383588271
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1478383588286
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1478383588287
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1478383588288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478383589542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478383612107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478383613826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478383623953
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1478383635399
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1478383635401
