what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1478535063116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535075234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535077141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535175121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535176759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535178833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535180586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1478535267895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478535269214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535275099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535278951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535286340
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1478535286460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535288558
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478535288577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535288612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478535289777
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1478535298895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478535310982
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1478535314732
